assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,9,None,None,0,221239,0,0,0,0,11.6,0,3,0.0,0.0,1,Keinan,0.5,1,0,1.9,34,False,8.0,34,,None,45,0,0,0,221239.jpg,1.0,0,0,Davis,0.3,False,None,a,2,7,0.0,2,6957,875,10251,1249,0.1,0.4,Davis,0
0,0,2,None,None,0,40564,0,0,-1,1,0.7,0,3,-0.3,-0.3,1,Henri,0.2,0,0,0.5,35,False,2.0,5,,None,44,0,0,0,40564.jpg,1.0,0,0,Lansbury,0.5,False,None,a,2,7,2.0,1,26045,23186,9992,5271,0.0,0.2,Lansbury,0
1,0,29,None,None,1,89274,0,0,-1,1,52.2,0,3,1.7,1.7,1,José Ignacio,2.2,3,0,10.5,36,False,40.0,180,,None,59,0,0,0,89274.jpg,2.2,0,0,Peleteiro Romallo,0.3,False,None,a,2,7,13.0,9,8220,729,10966,1749,0.4,1.5,Jota,0
0,0,61,None,None,1,21205,0,0,0,0,0.0,0,1,2.5,2.5,3,Tom,3.0,6,0,7.1,94,False,71.8,360,,None,45,0,0,0,21205.jpg,3.0,0,10,Heaton,6.8,False,None,a,2,7,0.0,12,130236,11961,95381,13005,0.7,2.7,Heaton,0
0,0,0,0,0,0,169359,0,0,-1,1,0.0,0,2,0.0,0.0,0,Matt,0.0,0,0,0.0,309,False,0.0,0,Hamstring injury - Unknown return date,2019-08-27T21:30:10.743130Z,44,0,0,0,169359.jpg,0.0,0,0,Targett,0.6,False,None,i,2,7,0.0,0,1601,18,40359,4586,0.0,0.0,Targett,0
0,3,44,None,None,1,213345,0,0,0,0,37.8,0,4,3.3,3.3,2,Wesley,3.8,4,1,22.5,428,False,58.6,337,,None,60,0,0,0,213345.jpg,3.8,0,0,Moraes,1.9,False,None,a,2,7,128.0,15,116229,12356,64318,14593,0.6,2.5,Wesley,0
0,0,0,100,100,0,79852,-1,1,-1,1,0.0,0,1,-0.5,-0.5,0,Jed,0.0,0,0,0.0,429,False,0.0,0,,2019-08-05T15:00:10.959066Z,44,0,0,0,79852.jpg,0.0,0,0,Steer,0.1,False,None,a,2,7,0.0,0,416,61,2677,291,0.0,0.0,Steer,0
1,3,88,None,None,1,149484,0,0,0,0,25.2,0,2,3.5,3.5,2,Tyrone,4.0,6,0,18.0,445,False,149.2,360,,None,45,0,0,0,149484.jpg,4.0,0,0,Mings,4.8,False,None,a,2,7,6.0,16,233437,48556,62816,13419,0.9,3.6,Mings,0
0,0,0,100,100,0,199798,0,0,-1,1,0.0,0,2,-0.5,-0.5,0,Ezri,0.0,0,0,0.0,452,False,0.0,0,,2019-08-05T15:00:10.970602Z,44,0,0,0,199798.jpg,0.0,0,0,Konsa Ngoyo,0.1,False,None,a,2,7,0.0,0,402,141,1693,239,0.0,0.0,Konsa,0
0,3,69,None,None,1,108156,0,0,0,0,1.8,1,2,2.7,2.7,2,Bjorn,3.2,6,0,10.3,455,False,89.4,360,,None,45,0,0,0,108156.jpg,3.2,0,0,Engels,0.5,False,None,a,2,7,11.0,13,25139,3207,8184,2034,0.7,2.9,Engels,0
0,0,23,None,None,1,203368,0,0,-1,1,16.7,0,2,1.0,1.0,1,Frédéric,1.5,1,0,4.7,458,False,18.2,180,,None,44,0,0,0,203368.jpg,3.0,0,0,Guilbert,0.6,False,None,a,2,7,12.0,6,17975,4212,17624,2335,0.3,1.4,Guilbert,2
